iter	RMSE
0	1.456759343
1	1.408038207
2	1.361155486
3	1.316287273
4	1.2747384
5	1.23359644
6	1.195534589
7	1.160677534
8	1.126508421
9	1.094139558
10	1.062514463
11	1.035448386
12	1.009843765
13	0.9848806624
14	0.9603263824
15	0.9363892728
16	0.9164104216
17	0.8976286232
18	0.8795281067
19	0.8616360469
20	0.8445566255
21	0.8262191865
22	0.8093819884
23	0.7946231331
24	0.7810508727
25	0.7680221212
26	0.755409364
27	0.7421597175
28	0.729703046
29	0.7175492706
30	0.7067390637
31	0.6972973393
32	0.6885474951
33	0.6794806687
34	0.6705818318
35	0.6621423758
36	0.653572979
37	0.6459325812
38	0.637916248
39	0.6312256057
40	0.6245870076
41	0.6187562058
42	0.61126606
43	0.6058748893
44	0.6012830314
45	0.5971860918
46	0.5925154901
47	0.5883524602
48	0.5839749829
49	0.5790227456
50	0.5753139583
51	0.5711132941
52	0.5670218949
53	0.5630363389
54	0.5593449337
55	0.5549757863
56	0.5517339242
57	0.5482651445
58	0.5450703626
59	0.5417157284
60	0.539399518
61	0.5363871163
62	0.5337841804
63	0.5308641457
64	0.5279570106
65	0.5248488113
66	0.5216427555
67	0.5195890855
68	0.516844965
69	0.5146732553
70	0.51211274
71	0.5107500382
72	0.508620749
73	0.5067223471
74	0.5047660487
75	0.5024650663
76	0.5005401112
77	0.4981936244
78	0.4961595024
79	0.4946338884
80	0.4928840478
81	0.4911213279
82	0.4893192263
83	0.487729418
84	0.4855615827
85	0.4839996665
86	0.4823563707
87	0.4806603171
88	0.4797356714
89	0.4780827325
90	0.4770770313
91	0.475401884
92	0.4730423453
93	0.4711199893
94	0.4691652079
95	0.4680064102
96	0.466744131
97	0.4657308412
98	0.4642068272
99	0.4629375792
100	0.4606438838
101	0.4593217266
102	0.4583139615
103	0.4567867442
104	0.4557565742
105	0.4542646731
106	0.4529081727
107	0.4514878353
108	0.450206834
109	0.4489227276
110	0.4475867879
111	0.4465260667
112	0.4457384112
113	0.4446328795
114	0.4431967373
115	0.4418212927
116	0.4407034276
117	0.4399393284
118	0.438851832
119	0.4379503999
120	0.4375352973
121	0.4367660313
122	0.4360250247
123	0.4345525141
124	0.433576255
125	0.4329192147
126	0.4324069576
127	0.4315747619
128	0.4304414785
129	0.4291462324
130	0.4279163801
131	0.4265629008
132	0.4256968858
133	0.4250034308
134	0.4240282485
135	0.4227782799
136	0.4219077323
