iter	RMSE
137	0.4212266655
138	0.4203764727
139	0.4196009637
140	0.4182842871
141	0.4177843747
142	0.4171168032
143	0.4159894218
144	0.4151731581
145	0.4141641039
146	0.4131316701
147	0.4123759365
148	0.4118052738
149	0.4109797981
150	0.4102055266
151	0.4093127273
152	0.4088144902
153	0.4081806796
154	0.4068747201
155	0.4058727294
156	0.4052075395
157	0.4045516223
158	0.4038548495
159	0.4031889123
160	0.4023885988
161	0.4009203014
162	0.4002222272
163	0.3989633362
164	0.3977457672
165	0.3970442823
166	0.396345727
167	0.3953834819
168	0.3948868217
169	0.394228072
170	0.3938216229
171	0.3931885639
172	0.3922323679
173	0.3913607003
174	0.3908147108
175	0.3897174588
176	0.3890106405
177	0.3878689292
178	0.3874173744
179	0.386754819
180	0.3859656025
181	0.3851670606
182	0.3842785064
183	0.3840183392
184	0.3835374783
185	0.3825450326
186	0.3817853584
187	0.3814819606
188	0.3806911897
189	0.3804081587
190	0.3800963049
191	0.3789365846
192	0.3782273232
193	0.3776648802
194	0.3762925384
195	0.3754559607
196	0.3744893834
197	0.373621692
198	0.3733076444
199	0.3731261838
200	0.3728473228
201	0.3721164951
202	0.3715624856
203	0.3710486393
204	0.3701342947
205	0.3692829376
206	0.3683636405
207	0.3674008727
208	0.366955678
209	0.3663125851
210	0.3661617968
211	0.3655481094
212	0.3651779363
213	0.3643301919
214	0.364145587
215	0.363987453
216	0.3635429183
217	0.3627488501
218	0.3620511728
219	0.3615852292
220	0.3612599256
221	0.3611006066
222	0.3609632076
223	0.3603050637
224	0.3598158292
225	0.3596833603
226	0.3587979027
227	0.3583522015
228	0.3573579852
229	0.3566171884
230	0.3558743218
231	0.3554534518
232	0.354772472
233	0.3546234428
234	0.3537766508
235	0.3530601858
236	0.3525299774
237	0.3519824325
238	0.3515015967
239	0.3513601636
240	0.3510786773
241	0.3503587925
242	0.3496418426
243	0.3488922538
244	0.3483860194
245	0.3479078629
246	0.347563374
247	0.3468950995
248	0.3465022047
249	0.345637385
250	0.3455168658
251	0.344961539
252	0.3441220452
253	0.3436733595
254	0.3430090238
255	0.3425272658
256	0.3419855399
257	0.3415469499
258	0.3408280375
259	0.3404044294
260	0.3396920932
261	0.3391801822
262	0.3386878306
263	0.3385797021
264	0.3384350939
265	0.3379247376
266	0.3373181019
267	0.3368987363
268	0.336019426
269	0.3356952527
270	0.3355415803
271	0.3354113651
272	0.3347327562
273	0.3340113309
274	0.333474426
275	0.3324595865
276	0.3318656678
277	0.3312536297
278	0.3306714878
279	0.3300331531
280	0.3296211694
281	0.3289618236
282	0.3285681233
283	0.3275543174
284	0.3270987829
285	0.32678599
286	0.3261816689
287	0.3255679561
288	0.3248242929
289	0.3245590421
290	0.3243742604
291	0.3240655469
292	0.3239443583
293	0.3234255449
294	0.3227755795
295	0.3225625729
296	0.3218141522
297	0.3214288263
298	0.320847446
299	0.3206556984
300	0.319957544
301	0.3192018273
302	0.3186309043
303	0.3180657647
304	0.3176656575
305	0.317117686
306	0.3166310019
307	0.3164323164
308	0.3159952047
309	0.3155691677
310	0.3152916188
311	0.3150502513
312	0.3148154714
313	0.3143583598
314	0.3134225289
315	0.3128748748
316	0.3125090021
317	0.3121411535
318	0.3119440151
319	0.311644449
320	0.3112463057
321	0.3107878573
322	0.3102964154
323	0.3099475913
324	0.3096226171
325	0.3091769155
326	0.3087203634
327	0.3083944371
328	0.3079365444
329	0.3078393639
330	0.3072274365
331	0.3068696385
332	0.3061874723
333	0.3057276225
334	0.30545188
335	0.3051115096
336	0.3049577153
337	0.3047666191
338	0.3046715694
339	0.3040333871
340	0.3035296371
341	0.3031874553
342	0.3024617207
343	0.3021219658
344	0.3020367737
345	0.3015582395
346	0.3014671561
347	0.300897096
348	0.3002878526
349	0.3000050111
350	0.2993454695
351	0.298893059
352	0.2985029511
353	0.2981279874
354	0.2976893371
355	0.2974158703
356	0.2971141289
357	0.2970246965
358	0.2962947933
359	0.2958005183
360	0.2955932035
361	0.2954106537
362	0.2950752298
363	0.294993284
364	0.2946513012
365	0.2942284176
366	0.29344651
367	0.2929743172
368	0.292470552
369	0.2922823652
370	0.2916156073
371	0.2911941582
372	0.2911150899
373	0.2906689025
374	0.2901431096
375	0.2896238794
376	0.2892041084
377	0.2888144503
378	0.2884015945
379	0.2882625845
380	0.2881057059
381	0.2878269226
382	0.2871972078
383	0.286804108
384	0.2864131547
385	0.286079424
386	0.2859345195
387	0.285698629
388	0.2854641264
389	0.2853854371
390	0.2848585308
391	0.2847867149
392	0.2845776098
393	0.2841341073
394	0.2837936057
395	0.2834928163
396	0.2830382525
397	0.2826838081
398	0.2824330823
399	0.2821833552
400	0.2821073479
401	0.2818931963
402	0.2814716994
403	0.2811100361
404	0.2805752847
405	0.280450195
406	0.2799906281
407	0.2799172457
408	0.2797840564
409	0.2796351762
410	0.2792372112
411	0.2789192612
412	0.2786012394
413	0.2784447762
414	0.2782801299
415	0.2782075289
416	0.2778342094
417	0.2771095513
418	0.2768612068
419	0.2766739222
420	0.2765376835
421	0.2759437921
422	0.2754741809
423	0.2751257897
424	0.2750556797
425	0.2746496084
426	0.2745509734
427	0.2740500198
428	0.2736043729
429	0.273267558
430	0.2729573593
431	0.2726027058
432	0.2725334441
433	0.2722508451
434	0.2719817694
435	0.2719124106
436	0.2717670648
437	0.2713340195
438	0.2710852049
439	0.2708742406
440	0.2708108676
441	0.2705759198
442	0.2702546131
443	0.2699072071
444	0.269669312
445	0.2696069549
446	0.2693903069
447	0.2692691389
448	0.268908458
449	0.268501063
450	0.268057183
451	0.2677028263
452	0.2673665702
453	0.2668756623
454	0.2666248183
455	0.2665037225
456	0.2662336296
457	0.2661177516
458	0.2659862917
459	0.2657709734
460	0.2654961006
461	0.2653902278
462	0.2653264253
463	0.2650027705
464	0.2648776333
465	0.2647460499
466	0.2646468044
467	0.2645226197
468	0.2642333754
469	0.2636809951
470	0.2631539547
471	0.262808044
472	0.262406264
473	0.2623461662
474	0.2620771063
475	0.2617075976
476	0.2615099205
477	0.2613902456
478	0.2611445063
479	0.2610533221
480	0.2607348831
481	0.2605134274
482	0.260357128
483	0.2599616886
484	0.2597218095
485	0.2595167181
486	0.2592409498
487	0.2591177227
488	0.2590559933
489	0.2588503648
490	0.2586024072
491	0.2584201626
492	0.258254293
493	0.2581981196
494	0.2579304296
495	0.2578740887
496	0.2576225889
497	0.2575111502
498	0.2572336844
499	0.2568578999
