model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std,n_folds
lgb,40.48084201126467,1.347853799276774,28.905223619949357,1.5718920330627533,0.8577671555416272,0.01710826946782636,0.9194235733099845,0.008328770702111578,5
xgb,41.50919703505649,1.2190002460989373,29.51421363846893,0.690226385961676,0.8500792374351362,0.02026486441037569,0.9150312799280614,0.007367166365872757,5
catboost,42.87743293846088,1.5609145206821757,30.956586718342333,1.1797492331870951,0.8400811204042125,0.021758429079186747,0.9129545594373951,0.0061941593298488725,5
rf,44.70504983787173,2.6298116449238425,32.22999090869691,1.639887532129555,0.8256096562681361,0.03011459614335578,0.9014135628906693,0.01488797716083541,5
mlp,46.27686368817234,3.2044417561511915,33.788837212720175,3.8740935074316423,0.8156455426135226,0.011647376329378432,0.9054326067976385,0.008771615971158905,5
